Mineral Name from EB,Category
Ancylite,2
 Thalenite-Y,2
 Thalenite-(Y), 2
 Thalenite (in matrix), 2
 Fluocerite,2
 Liebigite,0
 Apatite,1
 Aeschynite,2
 Aeschynite-(Y), 2
 Aeschynite-(Ce), var. Lyndochite, 2
 Aeschynite-(Y) var. Blomstrandine, 2
 Cerite,2
 Samarskite,2
 Samarskite-(Y), 2
 Euxenite,2
 Churchite-Y,2
 Churchite, 2
 Goudeyite,2
 Stillwellite-Ce,2
 Stillwellite, 2
 Gagarinite,2
 Pyrochlore,1
 Parisite,2
 Cebaite-Ce,2
 Bariopyrochlore_of_Hogarth_1977,1
 Bariopyrochlore, 1
 Sahamalite-Ce,2
 Sahamalite, 2
 Carbocernaite,2
 Huanghoite-Ce,2
 Huanghoite (+ Calcite + Riebeckite + Fluorite), 2
 Gerasimovskite,2
 Gerasimovskite + Belyankinite, 2
 Carnotite,0
 Monazite,2
 Ceriopyrochlore_of_Hogarth_1977,2
 Ceriopyrochlore, titanian, var. Marignacite, 2
 Simpsonite,0
 Allanite,2
 Allanite var. meta-allanite, 2
 Cordylite,2
 Rhabdophane,2
 Metatyuyamunite,0
 Thorite,1
 Davidite,2
 Agardite,2
 Burbankite,2
 Tengerite-Y,2
 Kainosite-Y,2
 Nenadkevichite,0
 Franconite,0
 Fergusonite,2
 Braitschite-Ce,2
 Tritomite-Y,2
 Loranskite-Y,2
 Steenstrupine,2
 Metauranocircite,0
 Uranpyrochlore_of_Hogarth_1977,1
 Perovskite,1
 Yttrialite-Y,2
 Brockite,2
 Gittinsite,2
 Niobophyllite,0
 Murmanite,0
 Betafite,1
 Metatorbernite,0
 Tundrite,2
 Thorbastnosite,2
 Vuonnemite,0
 Bastnasite,2
 Hellandite,2
 Chernovite-Y,2
 Miserite,2
 Lanthanite,2
 Columbite,1
 Thortveitite,1
 Hydropyrochlore_formerly_Kalipyrochlore, 1
 Hydroxylapatite (with Morinite & Augelite), 1
 Lokkaite-Y,2
 Lokkaite, 2
 Brannerite,1
 Synchysite-Y,2
 Microlite,1
 Loparite-Ce,2
 Perrierite-Ce,2
 Hochelagaite,0
 Schuilingite-Nd,2
 Melanocerite-Ce,2
 Polycrase,2
 Lueshite,1
 Tapiolite,0
 Tanteuxenite-Y,2
 Gadolinite,2
 Tombarthite,2
 Stibiotantalite,1
 Latrappite,1
 Xenotime,2
 Yttropyrochlore_of_Hogarth_1977,2
 Woehlerite,1
 Wohlerite,1
 Wöhlerite, 1
 Hibonite,2
 Yttrotungstite,2
 Epistolite,0
 Zircon,1
 Eudialyte,2
 Iimoriite-Y,2
 Ixiolite,1
 Gysinite-Nd,2
 Caysichite-Y,2
 Mosandrite-Ce,2
 Vitusite-Ce,2
 Chevkinite,2
 Britholite,2
 Wakefieldite,2
 Fluorapatite, 1
 Fluorapatite var. staffelite, 1
 Fluorapatite Mangan, 1
 Fluorapatite var. Manganapatite, 1
 Chlorapatite, 1
 Hydroxylapatite, 1
 Bastnäsite, 2
 Bastnaesite, 2
 Ferrocolumbite, 1
 Kalipyrochlore, 1
 Zircon var, 1
 Allanite-(Ce), 2
 Allanite var., 2
 Allanite-(Y), 2
 Monazite-(Ce), 2
 Monazite concentrate, 2
 Monazite-(La), 2
 Cebaite-(Ce), 2
 Apatite (with, 1
 Apatite (with Fluorite), 1 
 Apatite var., 1
 Apatite var. Asparagustone, 1
 Apatite (with Sodalite), 1
 Ancylite-?, 2
 Agardite (not confirmed), 2
 Miserite (+ eudialyte + mosandrite), 2
 Lokkaite (on Hellandite), 2
